PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
02391104,3663979,Rouses Point village,C1,A,4531538,1865453,+44.9912476,-73.3636800,463,Polygon
02391105,3664199,Rushville village,C1,A,1752172,0,+42.7612313,-77.2280116,464,Polygon
02391106,3664232,Russell Gardens village,C1,A,449690,0,+40.7808917,-73.7254514,465,Polygon
00979445,3664309,Rye city,C5,A,15157983,36700859,+40.9447383,-73.6863743,466,Polygon
02391107,3664325,Rye Brook village,C1,A,8879538,58441,+41.0300033,-73.6863545,467,Polygon
02391108,3664408,Sackets Harbor village,C1,A,5971738,14686,+43.9382517,-76.1129060,468,Polygon
02391110,3664430,Saddle Rock village,C1,A,654398,57122,+40.7943798,-73.7492781,469,Polygon
02391112,3664452,Sagaponack village,C1,A,11421274,628316,+40.9308947,-72.2687188,470,Polygon
02391111,3664485,Sag Harbor village,C1,A,4629338,46081,+40.9942738,-72.2885029,471,Polygon
02391157,3664639,St. Johnsville village,C1,A,2272798,3289,+43.0006376,-74.6759601,472,Polygon
00979450,3664749,Salamanca city,C5,A,15523896,626187,+42.1647336,-78.7412627,473,Polygon
